Node ID,Language,NUMBER_FOLLOWERS,Node Label,IS_VERIFIED,LOCATION,IS_NEWS_AGENCY,TWEET_COUNT
59697449,ja,13206,ShotaHatakeyama,0,町屋,,1
203123011,en,1761739,CTVNews,1,,1,5
807095,en,54997376,nytimes,1,New York City,1,15
2467791,en,20047532,washingtonpost,1,"Washington, DC",1,16
76456274,en,153529,SenStabenow,1,"Washington, DC",,1
838912583897841666,en,2558,Tinman1295,0,"PNW,USA (Inslee is a d-bag!)",,2
34613951,en,147854,BLaw,1,"Arlington, VA",1,2
1552407495255199745,en,98347,Xx17965797N,0,,,5
18929234,en,200503,CitizenFreePres,0,Best news site on interwebs.,,16
334944709,en,93781,ReutersLegal,1,New York,,4
627341141,en,3381,JaneHWBB,0,United States,,4
1200616796295847936,en,1250361,unusual_whales,1,,,13
17469289,en,2879909,nypost,1,"New York, NY",1,8
1247223374717296647,en,237468,TheInsiderPaper,0,Global,,8
321954654,en,329135,kylenabecker,1,"New York, NY",,2
846227459984973824,en,10549,StopGOPFox,0,Texas,,2
1001154543168753665,en,4381,TiwannaRN42,0,"Chicago, IL",,3
1231955057656188929,en,3015,LI_Islander,0,#Justice4J6,,3
14980820,en,355490,nbcwashington,1,"Washington, D.C.",1,6
16534038,en,23307,john_kucko,0,"Penfield, NY",,1
1115303437,,4801,JimTeskeNC9,1,,,0
15220806,en,495817,spann,1,The Deep South,,1
2215780517,,317,DrewGuild,0,"Odessa, NY",,0
43904530,en,12634,wxbywilliams,0,"Rochester, NY",,1
36205517,,4020,StevePetyerak,0,"Atlanta, GA",,0
21388284,,1284537,JimCantore,1,Location: Up to mother nature,,0
41501555,,1959244,StephanieAbrams,1,TikTok: Stephanie_Abrams,,0
2964606814,en,97645,StormHour,0,"Macclesfield, UK",,1
66472414,en,47469,nscorp,0,"Atlanta, GA",,17
2544997465,en,702,hazi224,0,Main Ass-ylum,,1
48760834,en,424,Rosobrinho,0,,,1
2437748545,en,3089,Kodi4momma,0,"MA,USA",,2
1580864050044575744,en,193,CoryPerdue0,0,"East Point, GA",,3
788726523587072001,en,368,Bagelandtomato,0,,,3
1062556200682741767,en,10,najar_jordan,0,Seattle Washington,,1
2816084887,en,1263,KeriStrahler,0,"Kansas, USA",,1
998549226,en,3428,LUISALBERTOREA8,0,,,1
1586130734561067009,en,278,VivVivbaa01,0,US,,1
68819317,en,1648,mamagerka,0,Texas,,2
588204046,en,751,alejosanz4,0,,,6
15962568,en,1060,Geniviva,0,USA,,7
215292073,en,2103,street_wyatt,0,,,3
1514283249165471746,en,586,CindyNicoara,0,,,1
109871065,en,31413,AnthonyDaquin,0,"Loudoun County, VA",,3
1120816219,en,136,Sky_High_Limit,0,,,2
1569350921166938114,en,16,YellowFellow85,0,,,1
4230938057,en,2434,ElkeHollings,0,,,3
1015295395319214080,en,1551,debs56410214,0,,,5
1274805086284324864,en,123,John08092552,0,,,2
728324764113211394,en,3020,whec65,0,Planet Earth,,1
816652616625168388,en,697021,RepAndyBiggsAZ,1,"Arizona, USA",,4
1442150255592566785,en,707,MeiMeiverse,0,Metaverse,,2
792010008,en,1318,matthewswaite,0,Upstate New York,,4
1063605467023360001,en,1082,lulu33062,0,,,5
3207950973,en,9089,OttobreInfo,0,,,1
359509980,en,4064,yoshiefuruhashi,0,,,7
53106736,en,1920,Sociability,0,The cloud ☁,,1
16439471,en,128742,TheWeek,1,"New York, NY",1,2
635004482,en,8877,FirebaughNorman,0,Kansas,,1
283259069,en,1645,JessesLaw,0,,,2
17811342,en,690,rbossert,0,"Orange County, CA",,1
31129117,en,5209,excelsio,0,,1,1
770356860,en,947,BrotherLeeLuv,0,The caring part of your Heart,,3
832610014154080257,en,394,TheMelitaFund,0,"State College, PA",,1
742736402102652929,en,3927,ladyoldandgray,0,Earth,,2
4823668455,en,5747,hazardscampaign,0,Greater Manchester,,1
1321896390096756738,en,568,SarahMya2000,0,,,4
83928971,en,942,DarrylMW,0,New Orleans,,14
784070810956816384,en,39,1000milesWest,0,"Roanoke, VA",,1
3989852355,en,944,JRSnedden,0,"State College, PA & Western NY",,1
770759270,en,41404,GetWisdomDude,0,,,3
